2026-03-26 16:56:56,444 - WARNING - 550973 | HH SSH000156 | Parents [32, 31] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,444 - WARNING - 550973 | HH SSH000157 | Parents [32, 31] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,444 - WARNING - 550973 | HH SSH000158 | Parents [33, 30] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,444 - WARNING - 550973 | HH SSH000159 | Parents [31, 31] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,444 - WARNING - 550973 | HH SSH000160 | Parents [33, 30] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,444 - WARNING - 550973 | HH SSH000161 | Parents [32, 31] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,449 - WARNING - 550973 | HH SSH000162 | Parents [33, 30] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,449 - WARNING - 550973 | HH SSH000163 | Parents [32, 31] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,449 - WARNING - 550973 | HH SSH000164 | Parents [32, 31] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,451 - WARNING - 550973 | HH SSH000165 | Parents [31, 31] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,451 - WARNING - 550973 | HH SSH000166 | Parents [32, 31] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,451 - WARNING - 550973 | HH SSH000167 | Parents [35, 28] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,451 - WARNING - 550973 | HH SSH000168 | Parents [31, 32] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,456 - WARNING - 550973 | HH SSH000169 | Parents [28, 34] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,456 - WARNING - 550973 | HH SSH000170 | Parents [37, 26] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,456 - WARNING - 550973 | HH SSH000171 | Parents [31, 32] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,457 - WARNING - 550973 | HH SSH000172 | Parents [34, 29] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,457 - WARNING - 550973 | HH SSH000173 | Parents [30, 33] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,457 - WARNING - 550973 | HH SSH000174 | Parents [31, 32] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,458 - WARNING - 550973 | HH SSH000175 | Parents [29, 34] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,458 - WARNING - 550973 | HH SSH000176 | Parents [29, 34] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,458 - WARNING - 550973 | HH SSH000177 | Parents [31, 32] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,459 - WARNING - 550973 | HH SSH000178 | Parents [31, 32] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,459 - WARNING - 550973 | HH SSH000179 | Parents [34, 30] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,459 - WARNING - 550973 | HH SSH000180 | Parents [31, 32] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,460 - WARNING - 550973 | HH SSH000181 | Parents [34, 30] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,460 - WARNING - 550973 | HH SSH000182 | Parents [34, 30] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,460 - WARNING - 550973 | HH SSH000183 | Parents [34, 30] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,460 - WARNING - 550973 | HH SSH000184 | Parents [33, 31] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,460 - WARNING - 550973 | HH SSH000185 | Parents [33, 31] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,460 - WARNING - 550973 | HH SSH000186 | Parents [32, 32] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,460 - WARNING - 550973 | HH SSH000187 | Parents [32, 32] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,460 - WARNING - 550973 | HH SSH000188 | Parents [34, 30] | Children [1] | Score=20.0 (bio=0.0, emp=0.0)
